Average trade price: 60973.475130, Total volume: 672.748749
Average trade price: 60982.259245, Total volume: 699.553887
Average trade price: 60990.149609, Total volume: 664.433267
Average trade price: 60993.388542, Total volume: 641.353975
Average trade price: 60999.730859, Total volume: 620.577501
Average trade price: 60995.470833, Total volume: 633.225732
Average trade price: 60993.428776, Total volume: 566.087610
Average trade price: 60988.075781, Total volume: 450.505549
Average trade price: 60977.064193, Total volume: 419.748623
Average trade price: 60965.319531, Total volume: 411.610010
Average trade price: 60956.125911, Total volume: 384.963410
Average trade price: 60952.857943, Total volume: 334.774709
Average trade price: 60955.330339, Total volume: 211.129049
Average trade price: 60962.330729, Total volume: 202.407800
Average trade price: 60969.582682, Total volume: 308.321599
Average trade price: 60977.055729, Total volume: 308.421265
Average trade price: 60983.505469, Total volume: 297.572703
Average trade price: 60985.687109, Total volume: 294.388839
Average trade price: 60992.666146, Total volume: 290.741153
Average trade price: 60997.800521, Total volume: 290.108913
Average trade price: 61004.620964, Total volume: 288.897357
Average trade price: 61012.436979, Total volume: 290.718530
Average trade price: 61019.770703, Total volume: 293.305159
Average trade price: 61028.303646, Total volume: 280.496984
Average trade price: 61037.602604, Total volume: 278.116871
Average trade price: 61048.192578, Total volume: 281.664485
Average trade price: 61057.375911, Total volume: 295.670927
Average trade price: 61065.948958, Total volume: 296.345819
Average trade price: 61072.350260, Total volume: 310.404634
Average trade price: 61073.297917, Total volume: 191.354796
Average trade price: 61073.024870, Total volume: 190.068688
Average trade price: 61069.484505, Total volume: 186.546216
Average trade price: 61067.523828, Total volume: 196.614283
Average trade price: 61063.661458, Total volume: 207.069309
Average trade price: 61063.383854, Total volume: 208.961197
Average trade price: 61064.686849, Total volume: 209.009168
Average trade price: 61066.179557, Total volume: 203.836538
Average trade price: 61066.643229, Total volume: 203.767129
Average trade price: 61072.246224, Total volume: 221.845234
Average trade price: 61079.846224, Total volume: 220.035230
Average trade price: 61083.887240, Total volume: 209.390220
Average trade price: 61085.475260, Total volume: 196.091345
Average trade price: 61086.724870, Total volume: 196.242245
Average trade price: 61091.648177, Total volume: 181.886610
Average trade price: 61098.701953, Total volume: 181.958806
Average trade price: 61101.769010, Total volume: 177.815878
Average trade price: 61106.769010, Total volume: 186.299131
Average trade price: 61111.814714, Total volume: 172.294588
Average trade price: 61117.614714, Total volume: 158.233010
Average trade price: 61118.605078, Total volume: 153.443884
Average trade price: 61119.454036, Total volume: 147.156555
Average trade price: 61122.058073, Total volume: 144.505817
Average trade price: 61128.080078, Total volume: 144.435639
Average trade price: 61132.296745, Total volume: 129.213507
Average trade price: 61133.226693, Total volume: 129.220535
Average trade price: 61133.789323, Total volume: 160.856724
Average trade price: 61134.353255, Total volume: 164.658207
Average trade price: 61133.064583, Total volume: 157.739501
Average trade price: 61126.368229, Total volume: 163.751025
Average trade price: 61115.444401, Total volume: 169.256173
Average trade price: 61102.641016, Total volume: 189.301480
Average trade price: 61091.706250, Total volume: 177.212476
Average trade price: 61082.320964, Total volume: 183.493604
Average trade price: 61074.149609, Total volume: 183.520551
Average trade price: 61069.235547, Total volume: 206.823484
Average trade price: 61066.265885, Total volume: 206.994374
Average trade price: 61063.914844, Total volume: 221.249674
Average trade price: 61058.562500, Total volume: 218.775263
Average trade price: 61051.897786, Total volume: 215.502129
Average trade price: 61047.618490, Total volume: 213.000686
Average trade price: 61043.957813, Total volume: 186.584376
Average trade price: 61039.163802, Total volume: 177.354034
Average trade price: 61033.572135, Total volume: 183.777774
Average trade price: 61030.810156, Total volume: 173.747911
Average trade price: 61031.435547, Total volume: 159.279225
Average trade price: 61036.242188, Total volume: 137.722419
Average trade price: 61040.621224, Total volume: 140.889293
Average trade price: 61042.306901, Total volume: 135.365461
Average trade price: 61041.844922, Total volume: 134.115896
Average trade price: 61041.719922, Total volume: 106.673339
Average trade price: 61040.661589, Total volume: 111.681019
Average trade price: 61038.928516, Total volume: 97.656821
Average trade price: 61039.081120, Total volume: 98.283890
Average trade price: 61044.314453, Total volume: 109.816069
Average trade price: 61051.029427, Total volume: 113.702732
Average trade price: 61057.512500, Total volume: 109.240124
Average trade price: 61066.071875, Total volume: 110.133695
Average trade price: 61072.545573, Total volume: 110.716678
Average trade price: 61081.798568, Total volume: 126.273853
Average trade price: 61091.576953, Total volume: 128.672202
Average trade price: 61099.824609, Total volume: 132.002068
Average trade price: 61105.865625, Total volume: 125.149766
Average trade price: 61116.097917, Total volume: 121.874110
Average trade price: 61127.242578, Total volume: 123.685046
Average trade price: 61138.640495, Total volume: 125.142515
Average trade price: 61145.713802, Total volume: 120.460867
Average trade price: 61150.727214, Total volume: 117.970794
Average trade price: 61153.525000, Total volume: 119.828839
Average trade price: 61150.281380, Total volume: 127.913130
Average trade price: 61144.782422, Total volume: 131.247399
Average trade price: 61141.492708, Total volume: 127.733804
Average trade price: 61138.063021, Total volume: 127.996686
Average trade price: 61136.752995, Total volume: 119.746819
Average trade price: 61132.900391, Total volume: 105.960224
Average trade price: 61129.527604, Total volume: 105.924236
Average trade price: 61126.844922, Total volume: 124.644739
Average trade price: 61124.947266, Total volume: 131.460317
