Starting Price: 184.970001, Ending Price: 184.889999, Highest Price: 184.970001, Lowest Price: 184.809998, Total Volume: 224.000000
Starting Price: 184.970001, Ending Price: 184.809998, Highest Price: 184.970001, Lowest Price: 184.809998, Total Volume: 10.000000
Starting Price: 184.869995, Ending Price: 184.869995, Highest Price: 184.970001, Lowest Price: 184.809998, Total Volume: 28.000000
Starting Price: 184.830002, Ending Price: 184.880005, Highest Price: 184.880005, Lowest Price: 184.830002, Total Volume: 118.000000
Starting Price: 184.880005, Ending Price: 184.869995, Highest Price: 184.880005, Lowest Price: 184.830002, Total Volume: 31.000000
Starting Price: 184.880005, Ending Price: 184.813507, Highest Price: 184.949905, Lowest Price: 184.813507, Total Volume: 955.000000
Starting Price: 184.949997, Ending Price: 184.899994, Highest Price: 184.949997, Lowest Price: 184.880005, Total Volume: 142.000000
Starting Price: 184.869995, Ending Price: 184.949997, Highest Price: 184.949997, Lowest Price: 184.830002, Total Volume: 15.000000
Starting Price: 184.880005, Ending Price: 184.880005, Highest Price: 184.949997, Lowest Price: 184.869995, Total Volume: 12.000000
Starting Price: 184.860001, Ending Price: 184.889999, Highest Price: 184.949997, Lowest Price: 184.809998, Total Volume: 43.000000
Starting Price: 184.830002, Ending Price: 184.831207, Highest Price: 184.889999, Lowest Price: 184.830002, Total Volume: 112.000000
Starting Price: 184.860001, Ending Price: 184.854996, Highest Price: 184.880005, Lowest Price: 184.839996, Total Volume: 18.000000
Starting Price: 184.854996, Ending Price: 184.854996, Highest Price: 184.880005, Lowest Price: 184.830505, Total Volume: 17.000000
Starting Price: 184.854996, Ending Price: 184.880005, Highest Price: 184.880005, Lowest Price: 184.831894, Total Volume: 388.000000
Starting Price: 184.854996, Ending Price: 184.869995, Highest Price: 184.869995, Lowest Price: 184.854996, Total Volume: 15.000000
Starting Price: 184.869995, Ending Price: 184.880005, Highest Price: 184.880005, Lowest Price: 184.839996, Total Volume: 102.000000
Starting Price: 184.869995, Ending Price: 184.854996, Highest Price: 184.877502, Lowest Price: 184.830307, Total Volume: 136.000000
Starting Price: 184.854996, Ending Price: 184.839996, Highest Price: 184.880005, Lowest Price: 184.839996, Total Volume: 412.000000
Starting Price: 184.854996, Ending Price: 184.854996, Highest Price: 184.880005, Lowest Price: 184.832504, Total Volume: 710.000000
Starting Price: 184.880005, Ending Price: 184.914993, Highest Price: 184.940002, Lowest Price: 184.860001, Total Volume: 1128.000000
Starting Price: 184.914993, Ending Price: 184.880005, Highest Price: 184.949997, Lowest Price: 184.880005, Total Volume: 207.000000
Starting Price: 184.929993, Ending Price: 184.899994, Highest Price: 184.929993, Lowest Price: 184.860001, Total Volume: 287.000000
Starting Price: 184.860001, Ending Price: 184.929993, Highest Price: 184.929993, Lowest Price: 184.860001, Total Volume: 6.000000
Starting Price: 184.889999, Ending Price: 184.880005, Highest Price: 184.929993, Lowest Price: 184.880005, Total Volume: 180.000000
Starting Price: 184.929993, Ending Price: 184.880005, Highest Price: 184.929993, Lowest Price: 184.880005, Total Volume: 166.000000
Starting Price: 184.925003, Ending Price: 184.970001, Highest Price: 184.970001, Lowest Price: 184.880005, Total Volume: 137.000000
Starting Price: 184.880005, Ending Price: 184.925003, Highest Price: 184.970001, Lowest Price: 184.880005, Total Volume: 98.000000
Starting Price: 184.919998, Ending Price: 184.929993, Highest Price: 184.970001, Lowest Price: 184.889999, Total Volume: 797.000000
Starting Price: 184.934998, Ending Price: 184.934998, Highest Price: 184.949997, Lowest Price: 184.899994, Total Volume: 146.000000
Starting Price: 184.910004, Ending Price: 184.929993, Highest Price: 184.970001, Lowest Price: 184.910004, Total Volume: 168.000000
Starting Price: 184.949997, Ending Price: 184.929993, Highest Price: 184.970001, Lowest Price: 184.925003, Total Volume: 1926.000000
