Starting Price: 226.970001, Ending Price: 226.970001, Highest Price: 226.998703, Lowest Price: 226.949997, Total Volume: 560.000000
Starting Price: 226.949997, Ending Price: 226.990005, Highest Price: 227.000000, Lowest Price: 226.949997, Total Volume: 435.000000
Starting Price: 226.970001, Ending Price: 226.970001, Highest Price: 227.000000, Lowest Price: 226.970001, Total Volume: 107.000000
Starting Price: 226.970001, Ending Price: 226.998306, Highest Price: 226.999298, Lowest Price: 226.940002, Total Volume: 1424.000000
Starting Price: 226.970001, Ending Price: 226.970001, Highest Price: 227.000000, Lowest Price: 226.940002, Total Volume: 663.000000
Starting Price: 226.950394, Ending Price: 226.955002, Highest Price: 227.000000, Lowest Price: 226.950104, Total Volume: 417.000000
Starting Price: 226.964996, Ending Price: 227.000000, Highest Price: 227.000000, Lowest Price: 226.949997, Total Volume: 1889.000000
Starting Price: 227.000000, Ending Price: 227.000000, Highest Price: 227.000000, Lowest Price: 226.971497, Total Volume: 164.000000
Starting Price: 226.990005, Ending Price: 227.035004, Highest Price: 227.035004, Lowest Price: 226.971497, Total Volume: 1663.000000
Starting Price: 227.068802, Ending Price: 227.011505, Highest Price: 227.070007, Lowest Price: 227.009995, Total Volume: 109.000000
Starting Price: 227.009995, Ending Price: 226.972702, Highest Price: 227.070007, Lowest Price: 226.972702, Total Volume: 2309.000000
Starting Price: 227.024994, Ending Price: 227.020004, Highest Price: 227.024994, Lowest Price: 226.970001, Total Volume: 7.000000
Starting Price: 227.020004, Ending Price: 226.970001, Highest Price: 227.020004, Lowest Price: 226.970001, Total Volume: 119.000000
Starting Price: 227.070007, Ending Price: 227.005005, Highest Price: 227.070007, Lowest Price: 226.940002, Total Volume: 223.000000
Starting Price: 227.005005, Ending Price: 227.005005, Highest Price: 227.005005, Lowest Price: 227.005005, Total Volume: 6.000000
Starting Price: 227.005005, Ending Price: 226.940002, Highest Price: 227.005005, Lowest Price: 226.940002, Total Volume: 377.000000
Starting Price: 226.970001, Ending Price: 226.940002, Highest Price: 227.000000, Lowest Price: 226.940002, Total Volume: 233.000000
Starting Price: 227.000000, Ending Price: 226.960007, Highest Price: 227.000000, Lowest Price: 226.942993, Total Volume: 307.000000
Starting Price: 226.942993, Ending Price: 226.975006, Highest Price: 227.000000, Lowest Price: 226.942993, Total Volume: 205.000000
Starting Price: 226.949997, Ending Price: 227.050003, Highest Price: 227.100006, Lowest Price: 226.949997, Total Volume: 390.000000
